id,name,world_rank,country
1300,University of South Carolina - Columbia,300,USA
1301,National and Kapodistrian University of Athens,301,Greece
1302,Leipzig University,302,Germany
1303,Medical University of South Carolina,303,USA
1304,Autonomous University of Madrid,304,Spain
1305,Dalian University of Technology,305,China
1306,Stellenbosch University,306,South Africa
1307,Kyungpook National University,307,South Korea
1308,University of Porto,308,Portugal
1309,University of St Andrews,309,United Kingdom
1310,Gwangju Institute of Science and Technology,310,South Korea
1311,Chulalongkorn University,311,Thailand
1312,University of Antwerp,312,Belgium
1313,Xiamen University,313,China
1314,University of Nebraska–Lincoln,314,USA
1315,Nankai University,315,China
1316,University of Stuttgart,316,Germany
1317,University of Rome Tor Vergata,317,Italy
1318,University of Regensburg,318,Germany
1319,Hong Kong University of Science and Technology,319,Hong Kong
1320,Kobe University,320,Japan
1321,University of Liège,321,Belgium
1322,Federal University of Rio de Janeiro,322,Brazil
1323,Rush University,323,USA
1324,University of Vermont,324,USA
1325,University of York,325,United Kingdom
1326,Boston College,326,USA
1327,University of Pavia,327,Italy
1328,University of Jena,328,Germany
1329,Vita-Salute San Raffaele University,329,Italy
1330,University of Genoa,330,Italy
1331,Tianjin University,331,China
1332,Louisiana State University - Baton Rouge,332,USA
1333,University of Exeter,333,United Kingdom
1334,National Autonomous University of Mexico,334,Mexico
1335,University of Adelaide,335,Australia
1336,University of East Anglia,336,United Kingdom
1337,York University,337,Canada
1338,University of Navarra,338,Spain
1339,University of Oregon,339,USA
1340,"St George's, University of London",340,United Kingdom
1341,Indian Institute of Technology Delhi,341,India
1342,University of Trieste,342,Italy
1343,Queen's University Belfast,343,United Kingdom
1344,University of Perugia,344,Italy
1345,Technical University of Berlin,345,Germany
1346,University of Marburg,346,Germany
1347,University of Innsbruck,347,Austria
1348,Eindhoven University of Technology,348,Netherlands
1349,Ben-Gurion University of the Negev,349,Israel
1350,University of Oklahoma - Norman Campus,350,USA
1351,Wesleyan University,351,USA
1352,University of Victoria,352,Canada
1353,Kansas State University,353,USA
1354,Hong Kong Polytechnic University,354,Hong Kong
1355,Linköping University,355,Sweden
1356,University of Southern Denmark,356,Denmark
1357,University of Otago,357,New Zealand
1358,Justus Liebig University Giessen,358,Germany
1359,University of New Hampshire,359,USA
1360,College of William and Mary,360,USA
1361,San Diego State University,361,USA
1362,Simon Fraser University,362,Canada
1363,University of Santiago de Compostela,363,Spain
1364,Saint Louis University,364,USA
1365,Colorado School of Mines,365,USA
1366,University of Eastern Finland,366,Finland
1367,University of Buenos Aires,367,Argentina
1368,University of Guelph,368,Canada
1369,University of Ferrara,369,Italy
1370,Polytechnic University of Catalonia,370,Spain
1371,Versailles Saint-Quentin-en-Yvelines University,371,France
1372,Saarland University,372,Germany
1373,City University of Hong Kong,373,Hong Kong
1374,Darmstadt University of Technology,374,Germany
1375,Pompeu Fabra University,375,Spain
1376,Pontifical Catholic University of Chile,376,Chile
1377,University of Bari Aldo Moro,377,Italy
1378,University of Texas Medical Branch at Galveston,378,USA
1379,University of Delhi,379,India
1380,"Washington State University, Pullman",380,USA
1381,Temple University,381,USA
1382,University of Milan - Bicocca,382,Italy
1383,University of Turku,383,Finland
1384,Chonnam National University,384,South Korea
1385,University of Lorraine,385,France
1386,National Chiao Tung University,386,Taiwan
1387,Catholic University of the Sacred Heart,387,Italy
1388,"University at Albany, SUNY",388,USA
1389,Xi'an Jiaotong University,389,China
1390,Ewha Womans University,390,South Korea
1391,Jilin University,391,China
1392,Tokyo Medical and Dental University,392,Japan
1393,Scuola Normale Superiore di Pisa,393,Italy
1394,University of Central Florida,394,USA
1395,Innsbruck Medical University,395,Austria
1396,Beijing Normal University,396,China
1397,Polytechnic University of Milan,397,Italy
1398,University of Seville,398,Spain
1399,University of Nebraska Medical Center,399,USA
1400,Huazhong University of Science and Technology,400,China
1401,Kyung Hee University,401,South Korea
1402,Chalmers University of Technology,402,Sweden
1403,Brigham Young University,403,USA
1404,University of Campinas,404,Brazil
1405,University of Bath,405,United Kingdom
1406,Saint Petersburg State University,406,Russia
1407,National Tsing Hua University,407,Taiwan
1408,University of Twente,408,Netherlands
1409,University of Alabama - Tuscaloosa,409,USA
1410,Harbin Institute of Technology,410,China
1411,University of Verona,411,Italy
1412,Oklahoma State University–Stillwater,412,USA
1413,Shandong University,413,China
1414,George Mason University,414,USA
1415,Wuhan University,415,China
1416,Swedish University of Agricultural Sciences,416,Sweden
1417,Concordia University,417,Canada
1418,Chiba University,418,Japan
1419,Kumamoto University,419,Japan
1420,Tongji University,420,China
1421,Aalto University,421,Finland
1422,Chonbuk National University,422,South Korea
1423,Peking Union Medical College,423,China
1424,Georgia Regents University,424,USA
1425,University of Chile,425,Chile
1426,Lancaster University,426,United Kingdom
1427,Vienna University of Technology,427,Austria
1428,University of Denver,428,USA
1429,University of Arkansas for Medical Sciences,429,USA
1430,Grenoble Institute of Technology,430,France
1431,University of Granada,431,Spain
1432,University of Modena and Reggio Emilia,432,Italy
1433,Ajou University,433,South Korea
1434,Gyeongsang National University,434,South Korea
1435,Technical University of Madrid,435,Spain
1436,University College Cork,436,Ireland
1437,Loyola University Chicago,437,USA
1438,Central South University,438,China
1439,South China University of Technology,439,China
1440,Polytechnic University of Valencia,440,Spain
1441,West Virginia University,441,USA
1442,University of Tampere,442,Finland
1443,Southeast University,443,China
1444,Miami University,444,USA
1445,University of Dayton,445,USA
1446,University of Siena,446,Italy
1447,University of Oulu,447,Finland
1448,Indian Institute of Science,448,India
1449,Macquarie University,449,Australia
1450,University of Rostock,450,Germany
1451,Jagiellonian University,451,Poland
1452,Pusan National University,452,South Korea
1453,University of Strathclyde,453,United Kingdom
1454,"University of Nevada, Reno",454,USA
1455,University of Saskatchewan,455,Canada
1456,University of Parma,456,Italy
1457,Kanazawa University,457,Japan
1458,Eötvös Loránd University,458,Hungary
1459,Aristotle University of Thessaloniki,459,Greece
1460,Ohio University,460,USA
1461,University of Iceland,461,Iceland
1462,University of Warsaw,462,Poland
1463,Syracuse University,463,USA
1464,Bielefeld University,464,Germany
1465,Juntendo University,465,Japan
1466,University of Wyoming,466,USA
1467,University of Wollongong,467,Australia
1468,Niigata University,468,Japan
1469,Texas Tech University (TTU),469,USA
1470,Middle East Technical University,470,Turkey
1471,École normale supérieure de Lyon,471,France
1472,Brunel University,472,United Kingdom
1473,Nihon University,473,Japan
1474,Osaka City University,474,Japan
1475,University of Rennes 1,475,France
1476,University of Oklahoma Health Sciences Center,476,USA
1477,East China University of Science and Technology,477,China
1478,University of KwaZulu-Natal,478,South Africa
1479,Sichuan University,479,China
1480,Illinois Institute of Technology,480,USA
1481,Tokyo University of Science,481,Japan
1482,"University of Science, Malaysia",482,Malaysia
1483,Clemson University,483,USA
1484,University of Zaragoza,484,Spain
1485,University of the Basque Country,485,Spain
1486,Nagasaki University,486,Japan
1487,Technical University of Dortmund,487,Germany
1488,University of Hawaii at Manoa,488,USA
1489,University of Nebraska Omaha,489,USA
1490,University of Konstanz,490,Germany
1491,Panjab University,491,India
1492,University of Hanover,492,Germany
1493,"University of Maryland, Baltimore County",493,USA
1494,University of Newcastle,494,Australia
1495,University of Ulsan,495,South Korea
1496,Renmin University of China,496,China
1497,Martin Luther University of Halle-Wittenberg,497,Germany
1498,University of Malaya,498,Malaysia
1499,University of Savoy,499,France
1500,University of Udine,500,Italy
1501,Tokyo Metropolitan University,501,Japan
1502,University of Sherbrooke,502,Canada
1503,University of Brescia,503,Italy
1504,University of Ljubljana,504,Slovenia
1505,University of Nice Sophia Antipolis,505,France
1506,University of Hull,506,United Kingdom
1507,University of Coimbra,507,Portugal
1508,Creighton University,508,USA
1509,Georgia State University,509,USA
1510,University of Wisconsin–Milwaukee,510,USA
1511,Catholic University of Korea,511,South Korea
1512,University of Tokushima,512,Japan
1513,Yokohama City University,513,Japan
1514,Lanzhou University,514,China
